benchmark,name,type,M,shape,avg_ms,status,tflops,tbps,fpb
dsa_projection,q_a_proj,GEMM,1024,"[1024,6144]×[6144,2048]",0.0637732982635498,OK,404.0845381636621,0.3617293229004137,1117.090909090909
dsa_projection,q_b_proj,GEMM,1024,"[1024,2048]×[2048,16384]",0.12187365293502808,OK,563.8583490447681,0.5678505102074386,992.969696969697
dsa_projection,absorbed_W_UK,BMM,1024,"batch=64, [1024,192]×[192,512]",0.05815795063972473,OK,221.5501362456706,1.4784432920039865,149.85365853658536
dsa_projection,kv_a_proj,GEMM,1024,"[1024,6144]×[6144,576]",0.03609994947910309,OK,200.7691815800312,0.3049879060460543,658.2857142857143
dsa_projection,absorbed_W_UV,BMM,1024,"batch=64, [1024,512]×[512,256]",0.09177814722061158,OK,187.18910442486833,0.8226083690545973,227.55555555555554
dsa_projection,o_proj,GEMM,1024,"[1024,16384]×[16384,6144]",0.32496564388275145,OK,634.4006946235294,0.40011437038837505,1585.5483870967741
dsa_projection,q_a_proj,GEMM,4096,"[4096,6144]×[6144,2048]",0.16487040519714355,OK,625.2135729316802,0.330720070317051,1890.4615384615386
dsa_projection,q_b_proj,GEMM,4096,"[4096,2048]×[2048,16384]",0.3706218957901001,OK,741.6666690941427,0.47531128085256946,1560.3809523809523
dsa_projection,absorbed_W_UK,BMM,4096,"batch=64, [4096,192]×[192,512]",0.17330100536346435,OK,297.3993569391356,1.8756876760077321,158.55483870967743
dsa_projection,kv_a_proj,GEMM,4096,"[4096,6144]×[6144,576]",0.11322375535964965,OK,256.05076563581054,0.2951974158941501,867.3882352941176
dsa_projection,absorbed_W_UV,BMM,4096,"batch=64, [4096,512]×[512,256]",0.18992985486984254,OK,361.8150331504909,1.4575068474079833,248.24242424242425
dsa_projection,o_proj,GEMM,4096,"[4096,16384]×[16384,6144]",1.11074800491333,OK,742.4129660231483,0.19635759599407815,3780.923076923077
dsa_projection,q_a_proj,GEMM,16384,"[16384,6144]×[6144,2048]",0.6062660694122315,OK,680.0922585288944,0.2974850170567063,2286.139534883721
dsa_projection,q_b_proj,GEMM,16384,"[16384,2048]×[2048,16384]",1.5041799545288086,OK,730.9708020410544,0.4015342540508722,1820.4444444444443
dsa_projection,absorbed_W_UK,BMM,16384,"batch=64, [16384,192]×[192,512]",0.7181653022766114,OK,287.0626435925962,1.784213004914106,160.89034369885434
dsa_projection,kv_a_proj,GEMM,16384,"[16384,6144]×[6144,576]",0.31311094760894775,OK,370.3611064306526,0.39307666799857,942.2108626198083
dsa_projection,absorbed_W_UV,BMM,16384,"batch=64, [16384,512]×[512,256]",0.7379268646240235,OK,372.50020309810964,1.4664467224016158,254.015503875969
dsa_projection,o_proj,GEMM,16384,"[16384,16384]×[16384,6144]",4.279579925537109,OK,770.7613692748166,0.1332900317145984,5782.588235294118
dsa_projection,q_a_proj,GEMM,65536,"[65536,6144]×[6144,2048]",2.489845085144043,OK,662.3976132107779,0.2745839715407226,2412.3680981595094
dsa_projection,q_b_proj,GEMM,65536,"[65536,2048]×[2048,16384]",12.904568481445313,OK,340.8131405112601,0.17941365581723742,1899.5942028985507
dsa_projection,absorbed_W_UK,BMM,65536,"batch=64, [65536,192]×[192,512]",3.908183288574219,OK,211.001803124961,1.306633988976237,161.48501026694046
dsa_projection,kv_a_proj,GEMM,65536,"[65536,6144]×[6144,576]",1.771595573425293,OK,261.8297736379846,0.27189591531247553,962.9779591836734
dsa_projection,absorbed_W_UV,BMM,65536,"batch=64, [65536,512]×[512,256]",8.608075714111328,OK,127.73024591007683,0.4999207775258592,255.50097465886938
dsa_projection,o_proj,GEMM,65536,"[65536,16384]×[16384,6144]",24.844224548339845,OK,531.0747174917828,0.07968497805789995,6664.677966101695
